Mal	Mal
Sdc4	Sdc4
Mylk	Mylk
Fxyd1	Fxyd1
Cemip	Cemip
Ftl1	Ftl1
Zfp36l1	Zfp36l1
Lrmda	Lrmda
Cxcl1	Cxcl1
Ank	Ank
Rgs2	Rgs2
Prlr	Prlr
Plcl1	Plcl1
Slc8a1	Slc8a1
Edn1	Edn1
Cd52	Cd52
Lama2	Lama2
Slc38a11	Slc38a11
Tnip3	Tnip3
Emcn	Emcn
Ly86	Ly86
Notch3	Notch3
B3galt1	B3galt1
Pcdh7	Pcdh7
Cyyr1	Cyyr1
Kcnb2	Kcnb2
Vcan	Vcan
Ifitm1	Ifitm1
Slc1a3	Slc1a3
4933406I18Rik	4933406I18Rik
Hmgb2	Hmgb2
Ldlrad4	Ldlrad4
Nostrin	Nostrin
Stmn2	Stmn2
Arl4a	Arl4a
Tfrc	Tfrc
Ralyl	Ralyl
Tafa1	Tafa1
Pik3r1	Pik3r1
Crip2	Crip2
Gpm6b	Gpm6b
Ifi27l2a	Ifi27l2a
Jund	Jund
Rnf19b	Rnf19b
Sparc	Sparc
H2-D1	H2-D1
Sox6	Sox6
Actb	Actb
9530026P05Rik	9530026P05Rik
Rundc3b	Rundc3b
S1pr1	S1pr1
Slc7a1	Slc7a1
Nkg7	Nkg7
Gpm6a	Gpm6a
Gm2682	Gm2682
Itih3	Itih3
Mertk	Mertk
Pcp4	Pcp4
Kcnj8	Kcnj8
Nhs	Nhs
Cd14	Cd14
Cx3cr1	Cx3cr1
Phactr1	Phactr1
Ccrl2	Ccrl2
Nts	Nts
Asic2	Asic2
Gatm	Gatm
Grip1	Grip1
Fam183b	Fam183b
Inpp4b	Inpp4b
Rarres2	Rarres2
Robo1	Robo1
Fabp5	Fabp5
Mfge8	Mfge8
Prex2	Prex2
Cavin2	Cavin2
Ptprt	Ptprt
Pln	Pln
Arl5c	Arl5c
Bcl2a1b	Bcl2a1b
P2ry12	P2ry12
Wdr17	Wdr17
Mgat4c	Mgat4c
Elmo1	Elmo1
Lama1	Lama1
Egr3	Egr3
Fau	Fau
Gm13889	Gm13889
Gja1	Gja1
Ccn3	Ccn3
Mmp16	Mmp16
Esam	Esam
St6galnac3	St6galnac3
Cd9	Cd9
Cntn1	Cntn1
Pde3a	Pde3a
Cacna1c	Cacna1c
Dusp2	Dusp2
Ank3	Ank3
Arhgap15	Arhgap15
Cdk8	Cdk8
Gadd45b	Gadd45b
